id,name,country,continent,tags,avg_cost_usd,avg_rating,climate,accessibility,best_season,description,latitude,longitude,xid
29,Hallstatt,Austria,Europe,scenic nature lake romantic,1500,4.8,temperate,True,May-September,A jaw-dropping Alpine lakeside village — often called the most beautiful village in the world.,47.5622,13.6493,W104617
30,New Orleans,USA,North America,food music culture festivals,1200,4.6,subtropical,True,February-May,"The soulful birthplace of Jazz — Mardi Gras, beignets, and Bourbon Street's electric nightlife.",29.9511,-90.0715,W27517
31,Mount Cook,New Zealand,Oceania,mountain hiking stargazing nature,2000,4.8,cold,False,December-March,New Zealand's highest peak surrounded by glaciers — a certified Dark Sky Reserve for breathtaking stargazing.,-43.595,170.1418,W193026
32,Chiang Mai,Thailand,Asia,culture temples trekking budget,400,4.7,tropical,True,November-February,Northern Thailand's cultural crown jewel — hundreds of ornate temples and elephant sanctuaries.,18.7883,98.9853,W195234
33,Torres del Paine,Chile,South America,trekking nature wilderness adventure,2500,4.9,cold,False,November-March,"The crown jewel of Chilean Patagonia — iconic granite towers, glaciers, and pristine lakes.",-51.0341,-72.9904,W219052
34,Cinque Terre,Italy,Europe,coastal hiking scenic budget,1200,4.8,mediterranean,True,May-September,Five candy-colored fishing villages clinging to dramatic Ligurian cliffs above the Italian Riviera.,44.1,9.72,W212043
35,Norwegian Fjords,Norway,Europe,scenic nature hiking kayaking,3000,4.9,cold,True,June-August,"UNESCO-listed fjords of staggering beauty — steep cliffs, mirror-like waters, and remote mountain villages.",60.472,8.4689,W109285
36,Varanasi,India,Asia,culture spirituality history ancient,300,4.6,subtropical,False,October-March,The world's oldest living city — sacred ghats along the Ganges and the eternal cycle of life and death.,25.3176,82.9739,W202432
37,Phi Phi Islands,Thailand,Asia,beach diving snorkeling island,800,4.7,tropical,False,November-April,"Emerald waters, towering limestone karsts, and the world-famous Maya Bay.",7.7407,98.7784,W196128
38,Bhutan,Bhutan,Asia,culture spirituality himalaya trekking,3000,4.9,mountain,False,March-May,The Last Shangri-La — a Buddhist kingdom measuring happiness in the pristine Himalayas.,27.5142,90.4336,W183234
39,Tuscany,Italy,Europe,wine food scenic cycling,2000,4.8,mediterranean,True,April-October,"Rolling hills dotted with vineyards, cypress trees, and medieval hilltop towns.",43.7711,11.2486,W212345
40,Oludeniz,Turkey,Asia,paragliding beach adventure coastal,800,4.7,mediterranean,True,May-October,Home to Turkey's most photographed beach — the Blue Lagoon and the world's premier paragliding site.,36.5498,29.1143,W192012
41,Scottish Highlands,United Kingdom,Europe,nature hiking castles whisky,1200,4.7,cold,True,May-September,"Ancient lochs, rugged moorland, and medieval castles in Britain's last great wilderness.",57.0,-4.0,W105912
42,Siem Reap,Cambodia,Asia,history temples culture budget,500,4.7,tropical,True,November-February,Gateway to the ancient temples of Angkor — the greatest archaeological marvel in Southeast Asia.,13.3671,103.8448,W188012
43,Palawan,Philippines,Oceania,beach diving nature island,1000,4.9,tropical,False,November-May,"An untouched paradise of turquoise lagoons, white beaches, and the UNESCO Puerto Princesa river.",9.8349,118.7384,W193408
44,Iceland Ring Road,Iceland,Europe,adventure nature northern_lights road_trip,3200,4.8,subarctic,False,June-August,"Drive the epic 1400km Route 1 circumnavigating the island — waterfalls, glaciers, and volcanic landscapes.",64.9631,-19.0208,W104930
45,Sahara Morocco,Morocco,Africa,adventure desert camping culture,1100,4.7,arid,False,October-April,Journey to the edge of the Sahara — camel treks to towering sand dunes and nights in desert camps.,31.0,-4.0,W206098
46,Oaxaca,Mexico,North America,culture food indigenous art,700,4.7,subtropical,True,October-May,"Mexico's cultural and culinary capital — mezcal, vibrant markets, and Dia de Muertos.",17.0732,-96.7266,W22934
47,Ha Long Bay,Vietnam,Asia,scenic cruise nature kayaking,900,4.8,tropical,True,October-April,A UNESCO World Heritage seascape of 1600 emerald limestone islands rising from the Gulf of Tonkin.,20.9101,107.1839,W197845
48,Serengeti,Tanzania,Africa,wildlife safari photography nature,4000,4.9,tropical,False,June-October,Africa's most iconic safari destination — endless plains teeming with the Big Five and the Great Migration.,-2.3333,34.8333,W220498
49,Bruges,Belgium,Europe,history canals chocolate romantic,1200,4.7,temperate,True,April-September,A perfectly preserved medieval gem of cobblestone streets and world-class Belgian chocolate.,51.2093,3.2247,W104289
50,Hoi An,Vietnam,Asia,culture lanterns food history,600,4.8,tropical,True,February-August,A magical ancient trading port of colorful lanterns and some of Vietnam's finest cuisine.,15.8758,108.337,W198072
51,Meteora,Greece,Europe,spiritual hiking scenery history,900,4.9,mediterranean,True,April-October,Monasteries perched impossibly atop towering rock pillars — one of the most astonishing sights on Earth.,39.7217,21.6306,W169254
52,Costa Rica,Costa Rica,Central America,wildlife adventure eco_tourism nature,1500,4.7,tropical,False,December-April,"A biodiversity hotspot of cloud forests, active volcanoes, and pristine Pacific and Caribbean beaches.",9.7489,-83.7534,W208419
53,Antelope Canyon,USA,North America,photography canyon nature scenic,1400,4.9,arid,False,March-October,The photographer's holy grail — swirling sandstone slot canyons in Arizona that glow with ethereal light.,36.8619,-111.3743,W23048
54,Blue Lagoon Iceland,Iceland,Europe,wellness geothermal luxury unique,2000,4.7,subarctic,True,Year-round,A milky-blue geothermal spa in a prehistoric lava field.,63.8804,-22.4495,W104945
55,Kruger Park,South Africa,Africa,wildlife safari photography nature,2500,4.8,subtropical,False,May-September,South Africa's flagship safari — the Big Five in their most accessible and iconic setting.,-23.9884,31.5547,W223481
56,Kathmandu,Nepal,Asia,culture trekking himalaya spirituality,400,4.6,mountain,False,October-November,The gateway to the Himalayas — chaotic spiritual and bursting with ancient temples.,27.7172,85.324,W201982
57,Positano,Italy,Europe,luxury romantic coastal scenic,3000,4.8,mediterranean,True,May-September,The jewel of the Amalfi Coast — pastel-hued houses tumbling down a cliff into the sea.,40.628,14.485,W216392
58,Tulum,Mexico,North America,beach wellness Mayan cenotes,1200,4.7,tropical,True,November-April,"A boho paradise of Mayan ruins on clifftops, crystal cenotes, and Caribbean beaches.",20.2115,-87.4653,W22742
59,Taipei,Taiwan,Asia,food technology culture budget,800,4.6,subtropical,True,October-December,A vibrant city of night markets and some of Asia's most spectacular street food.,25.033,121.5654,W208902
60,Cappadocia,Turkey,Asia,hot_air_balloon adventure scenic unique,1500,4.9,arid,True,April-June,A dreamlike landscape of fairy chimneys and cave dwellings — best from a hot air balloon.,38.6431,34.8289,W172432
61,Lake Bled,Slovenia,Europe,scenic lake romantic hiking,1200,4.8,temperate,True,April-October,A fairy-tale emerald lake with a tiny island church and a clifftop castle in the Julian Alps.,46.3683,14.1146,W122589
62,Lofoten Islands,Norway,Europe,northern_lights scenic fishing photography,2500,4.9,cold,False,January-March,Dramatic Arctic archipelago of jagged peaks and some of the Northern Lights' best displays.,68.1576,13.9994,W110423
63,Ubud,Indonesia,Asia,culture wellness art nature,900,4.7,tropical,True,April-October,"Bali's spiritual and artistic heart — rice terraces, yoga retreats, and the Sacred Monkey Forest.",-8.5069,115.2625,W213102
64,Great Barrier Reef,Australia,Oceania,diving snorkeling wildlife nature,2500,4.8,tropical,True,June-October,The world's largest coral reef system — an underwater paradise of extraordinary marine biodiversity.,-18.2871,147.6992,W183192
65,Jiuzhaigou,China,Asia,scenery nature lakes colorful,1100,4.9,mountain,False,April-November,"A magical valley of multi-colored lakes, waterfalls, and snow-capped peaks in Sichuan Province.",33.26,103.92,W186432
66,Salar de Uyuni,Bolivia,South America,unique photography nature adventure,800,4.8,highland,False,November-April,The world's largest salt flat — a mirror-like expanse that perfectly reflects the sky.,-20.1338,-67.4891,W215723
67,El Nido,Philippines,Oceania,beach diving island nature,1000,4.9,tropical,False,November-May,"Hidden lagoons, secret beaches, and dramatic karst cliffs in Palawan's most pristine island paradise.",11.1784,119.4068,W193218
68,Chefchaouen,Morocco,Africa,photography culture scenic budget,500,4.8,mountain,True,April-June,The Blue City — a labyrinth of strikingly blue-washed streets tucked into the Rif Mountains.,35.1688,-5.2636,W205218
69,Wadi Rum,Jordan,Asia,adventure desert camping scenic,800,4.8,arid,False,March-May,The Valley of the Moon — a vast desert of soaring sandstone mountains and ancient petroglyphs.,29.576,35.4228,W208019
70,Plitvice Lakes,Croatia,Europe,nature lakes waterfalls hiking,1100,4.9,temperate,True,April-October,A UNESCO cascade of 16 terraced turquoise lakes connected by thundering waterfalls in dense forest.,44.8654,15.582,W184198
71,Inca Trail,Peru,South America,trekking adventure history highland,1800,4.8,highland,False,May-September,The world's most iconic trek — four days through cloud forest and Andean passes to Machu Picchu.,-13.52,-72.08,W216621
72,Socotra,Yemen,Asia,unique nature endemic beach,2200,4.9,tropical,False,October-April,Earth's most alien-looking island — Dragon Blood Trees and endemic species found nowhere else.,12.4634,53.8237,W207219
73,Faroe Islands,Denmark,Europe,scenic nature hiking unique,2800,4.8,cold,False,June-August,Remote Atlantic archipelago of emerald cliffs and roaring waterfalls in swirling mist.,61.8926,-6.9118,W106219
74,Bagan,Myanmar,Asia,history temples sunrise ancient,700,4.8,tropical,False,November-February,A vast plain of over 2000 ancient Buddhist temples — best seen from a hot air balloon.,21.1717,94.8585,W187091
75,Sossusvlei,Namibia,Africa,desert photography nature scenic,2000,4.8,arid,False,May-September,The world's tallest sand dunes — towering red-orange giants rising from the ancient Namib Desert.,-24.7281,15.3381,W221183
76,Kotor,Montenegro,Europe,coastal history medieval scenic,1000,4.8,mediterranean,True,May-September,One of Europe's best-preserved medieval towns — a UNESCO bay of stunning natural beauty.,42.4247,18.7712,W177289
77,Yellowstone,USA,North America,nature geothermal wildlife geysers,2000,4.8,temperate,True,June-September,"America's first national park — Old Faithful, prismatic hot springs, grizzly bears, and wolf packs.",44.428,-110.5885,W24482
78,Darjeeling,India,Asia,tea mountain train himalaya,400,4.6,mountain,True,October-November,"The Queen of the Hills — emerald tea gardens, the Toy Train, and panoramic Himalayan views.",27.036,88.2627,W201498
79,Guilin,China,Asia,scenery river karst photography,800,4.8,subtropical,True,April-October,Legendary alien karst peaks rising from the Li River — arguably China's most iconic landscape.,25.2736,110.29,W186109
80,Dolomites,Italy,Europe,mountain hiking skiing scenic,2200,4.9,cold,True,June-September,A UNESCO mountain range of impossibly dramatic pinnacles glowing pink at sunset.,46.4102,11.844,W212891
81,Pamukkale,Turkey,Asia,thermal unique history wellness,700,4.7,mediterranean,True,April-October,Snow-white travertine terraces of warm mineral pools — Turkey's surreal Cotton Castle.,37.9213,29.1199,W172819
82,Easter Island,Chile,South America,mystery history unique culture,2500,4.9,subtropical,False,November-March,A remote volcanic island of over 1000 colossal stone Moai statues carved by the ancient Rapa Nui.,-27.1127,-109.3497,W214209
83,Similan Islands,Thailand,Asia,diving beach underwater nature,900,4.8,tropical,False,November-April,Thailand's finest diving destination — pristine coral reefs in the Andaman Sea.,8.6367,97.6419,W196483
84,Munnar,India,Asia,tea nature mountain scenic,300,4.6,highland,True,September-March,Kerala's glorious hill station — an emerald sea of rolling tea plantations in the Western Ghats.,10.0889,77.0595,W201823
85,Valletta,Malta,Europe,history culture coastal architecture,900,4.6,mediterranean,True,April-June,Europe's smallest capital — a UNESCO Baroque city of grandmasters palaces and fortress walls.,35.8989,14.5146,W167892
86,Zhangjiajie,China,Asia,scenery nature unique forest,700,4.9,subtropical,False,April-October,The real-life Avatar mountains — towering sandstone pillar columns wrapped in mist in Hunan Province.,29.1175,110.479,W186892
87,Big Island Hawaii,USA,North America,volcano lava beaches diving,2500,4.8,tropical,True,Year-round,Witness live lava flows at Hawaii Volcanoes National Park and snorkel alongside manta rays.,19.8968,-155.5828,W23891
88,Jaisalmer,India,Asia,desert fort culture camel,300,4.6,arid,False,October-March,The Golden City — a living desert fortress of sandstone rising from the Thar Desert.,26.9157,70.9083,W201783
89,Yosemite,USA,North America,nature hiking rock_climbing waterfalls,1800,4.9,temperate,True,May-September,"America's most beloved valley — El Capitan, Half Dome, and thundering waterfalls.",37.8651,-119.5383,W24561
90,Penang,Malaysia,Asia,food culture art budget,500,4.7,tropical,True,December-February,"Asia's food capital — a UNESCO heritage city of street food, colonial shophouses, and street art.",5.4141,100.3288,W189412
91,Skeleton Coast,Namibia,Africa,wilderness unique photography nature,3000,4.8,arid,False,May-October,One of the world's most desolate and hauntingly beautiful coastlines — shipwrecks and desert lions.,-21.0,13.5,W221634
92,Rotorua,New Zealand,Oceania,geothermal Maori nature unique,1400,4.6,temperate,True,Year-round,"New Zealand's geothermal wonderland — boiling mud pools, geysers, and immersive Maori culture.",-38.1368,176.2497,W184621
93,Siwa Oasis,Egypt,Africa,desert unique history oasis,600,4.7,arid,False,October-March,A remote oasis of date palms in Egypt's Western Desert — oracle temple of Alexander the Great.,29.2031,25.5194,W203819
94,Hvar,Croatia,Europe,beach nightlife island lavender,1500,4.7,mediterranean,True,June-September,"Croatia's sunniest island of lavender fields, Renaissance piazzas, and glamorous beach clubs.",43.1729,16.4412,W185219
95,Alberobello,Italy,Europe,unique culture history architecture,1000,4.7,mediterranean,True,April-October,A surreal UNESCO village of whitewashed trulli cone-roofed houses.,40.7879,17.2414,W214982
96,Kuala Lumpur,Malaysia,Asia,urban food culture budget,600,4.5,tropical,True,Year-round,"A dynamic multicultural metropolis with Petronas Towers, vibrant street food markets, and rich Malay culture.",3.139,101.6869,W187234
97,Cinque Terre Alt,Italy,Europe,coastal hiking scenic food,1300,4.8,mediterranean,True,May-September,Dramatic coastal villages with colorful buildings and excellent Ligurian seafood cuisine.,44.127,9.715,W212044
98,Koh Samui,Thailand,Asia,beach luxury resort tropical,1100,4.6,tropical,True,December-April,"Thailand's tropical resort island with palm-fringed beaches, luxury spas, and vibrant beach clubs.",9.512,100.0136,W196521
99,Hampi,India,Asia,history ruins architecture ancient,250,4.7,arid,False,October-February,A UNESCO World Heritage site of 14th-century Vijayanagara Empire ruins scattered across a boulder-strewn landscape.,15.335,76.4619,W201456
100,Fjordland NP,New Zealand,Oceania,nature fjords hiking scenic,2200,4.9,cold,True,December-March,"New Zealand's most spectacular national park — Milford Sound, Doubtful Sound, and Sutherland Falls.",-45.4136,167.7197,W184782
